key,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Arena,Notes
1,Tue Oct 18 2022,7:30p,Philadelphia 76ers,,Boston Celtics,,,TD Garden,
2,Tue Oct 18 2022,10:00p,Los Angeles Lakers,,Golden State Warriors,,,Chase Center,
3,Wed Oct 19 2022,7:00p,Orlando Magic,,Detroit Pistons,,,Little Caesars Arena,
4,Wed Oct 19 2022,7:00p,Washington Wizards,,Indiana Pacers,,,Gainbridge Fieldhouse,
5,Wed Oct 19 2022,7:30p,Houston Rockets,,Atlanta Hawks,,,State Farm Arena,
6,Wed Oct 19 2022,7:30p,New Orleans Pelicans,,Brooklyn Nets,,,Barclays Center,
7,Wed Oct 19 2022,7:30p,New York Knicks,,Memphis Grizzlies,,,FedEx Forum,
8,Wed Oct 19 2022,7:30p,Chicago Bulls,,Miami Heat,,,FTX Arena,
9,Wed Oct 19 2022,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,Scotiabank Arena,
10,Wed Oct 19 2022,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,Target Center,
11,Wed Oct 19 2022,8:00p,Charlotte Hornets,,San Antonio Spurs,,,AT&T Center,
12,Wed Oct 19 2022,9:00p,Denver Nuggets,,Utah Jazz,,,Vivint Arena,
13,Wed Oct 19 2022,10:00p,Dallas Mavericks,,Phoenix Suns,,,Footprint Center,
14,Wed Oct 19 2022,10:00p,Portland Trail Blazers,,Sacramento Kings,,,Golden 1 Center,
15,Thu Oct 20 2022,7:30p,Milwaukee Bucks,,Philadelphia 76ers,,,Wells Fargo Center,
16,Thu Oct 20 2022,10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,Crypto.com Arena,
17,Fri Oct 21 2022,7:00p,New Orleans Pelicans,,Charlotte Hornets,,,Spectrum Center,
18,Fri Oct 21 2022,7:00p,San Antonio Spurs,,Indiana Pacers,,,Gainbridge Fieldhouse,
19,Fri Oct 21 2022,7:00p,Chicago Bulls,,Washington Wizards,,,Capital One Arena,
20,Fri Oct 21 2022,7:30p,Orlando Magic,,Atlanta Hawks,,,State Farm Arena,
21,Fri Oct 21 2022,7:30p,Toronto Raptors,,Brooklyn Nets,,,Barclays Center,
22,Fri Oct 21 2022,7:30p,Boston Celtics,,Miami Heat,,,FTX Arena,
23,Fri Oct 21 2022,7:30p,Detroit Pistons,,New York Knicks,,,Madison Square Garden (IV),
24,Fri Oct 21 2022,8:00p,Memphis Grizzlies,,Houston Rockets,,,Toyota Center,
25,Fri Oct 21 2022,8:00p,Utah Jazz,,Minnesota Timberwolves,,,Target Center,
26,Fri Oct 21 2022,10:00p,Denver Nuggets,,Golden State Warriors,,,Chase Center,
27,Fri Oct 21 2022,10:00p,Phoenix Suns,,Portland Trail Blazers,,,Moda Center,
28,Sat Oct 22 2022,6:00p,San Antonio Spurs,,Philadelphia 76ers,,,Wells Fargo Center,
29,Sat Oct 22 2022,7:00p,Detroit Pistons,,Indiana Pacers,,,Gainbridge Fieldhouse,
30,Sat Oct 22 2022,7:00p,Boston Celtics,,Orlando Magic,,,Amway Center,
31,Sat Oct 22 2022,8:00p,Cleveland Cavaliers,,Chicago Bulls,,,United Center,
32,Sat Oct 22 2022,8:00p,Toronto Raptors,,Miami Heat,,,FTX Arena,
33,Sat Oct 22 2022,8:00p,Houston Rockets,,Milwaukee Bucks,,,Fiserv Forum,
34,Sat Oct 22 2022,8:30p,Memphis Grizzlies,,Dallas Mavericks,,,American Airlines Center,
