id,Week,Day,Date,VisTm,HomeTm,Neut
1,1,08/26/2023,Sat,Florida International,Louisiana Tech,N
2,1,08/26/2023,Sat,Hawaii,Vanderbilt,N
3,1,08/26/2023,Sat,Massachusetts,New Mexico State,N
4,1,08/26/2023,Sat,Notre Dame,Navy,Y
5,1,08/26/2023,Sat,Ohio,San Diego State,N
6,1,08/26/2023,Sat,San Jose State,Southern California,N
7,1,08/26/2023,Sat,Texas-El Paso,Jacksonville State,N
8,2,08/31/2023,Thu,Arkansas-Pine Bluff,Tulsa,N
9,2,08/31/2023,Thu,Elon,Wake Forest,N
10,2,08/31/2023,Thu,Florida,Utah,N
11,2,08/31/2023,Thu,Kent State,Central Florida,N
12,2,08/31/2023,Thu,Nebraska,Minnesota,N
13,2,08/31/2023,Thu,North Carolina A&T,Alabama-Birmingham,N
14,2,08/31/2023,Thu,North Carolina State,Connecticut,N
15,2,08/31/2023,Thu,Rhode Island,Georgia State,N
16,2,08/31/2023,Thu,South Dakota,Missouri,N
17,2,08/31/2023,Thu,Southern Utah,Arizona State,N
18,2,08/31/2023,Thu,St. Francis (PA),Western Michigan,N
19,2,09/01/2023,Fri,Central Michigan,Michigan State,N
20,2,09/01/2023,Fri,Howard,Eastern Michigan,N
21,2,09/01/2023,Fri,Louisville,Georgia Tech,Y
22,2,09/01/2023,Fri,Miami (OH),Miami (FL),N
23,2,09/01/2023,Fri,Missouri State,Kansas,N
24,2,09/01/2023,Fri,Stanford,Hawaii,N
25,2,09/02/2023,Sat,Akron,Temple,N
26,2,09/02/2023,Sat,Alabama A&M,Vanderbilt,N
27,2,09/02/2023,Sat,Albany,Marshall,N
28,2,09/02/2023,Sat,Alcorn State,Southern Mississippi,N
29,2,09/02/2023,Sat,Arkansas State,Oklahoma,N
30,2,09/02/2023,Sat,Army,Louisiana-Monroe,N
31,2,09/02/2023,Sat,Ball State,Kentucky,N
32,2,09/02/2023,Sat,Bethune-Cookman,Memphis,N
33,2,09/02/2023,Sat,Boise State,Washington,N
34,2,09/02/2023,Sat,Bowling Green,Liberty,N
35,2,09/02/2023,Sat,Bryant,Nevada-Las Vegas,N
36,2,09/02/2023,Sat,Bucknell,James Madison,N
37,2,09/02/2023,Sat,Buffalo,Wisconsin,N
38,2,09/02/2023,Sat,California,North Texas,N
39,2,09/02/2023,Sat,Central Arkansas,Oklahoma State,N
40,2,09/02/2023,Sat,Citadel,Georgia Southern,N
41,2,09/02/2023,Sat,Coastal Carolina,UCLA,N
42,2,09/02/2023,Sat,Colgate,Syracuse,N
43,2,09/02/2023,Sat,Colorado,Texas Christian,N
44,2,09/02/2023,Sat,East Carolina,Michigan,N
45,2,09/02/2023,Sat,East Tennessee State,Jacksonville State,N
46,2,09/02/2023,Sat,Eastern Kentucky,Cincinnati,N
47,2,09/02/2023,Sat,Fresno State,Purdue,N
48,2,09/02/2023,Sat,Gardner-Webb,Appalachian State,N
49,2,09/02/2023,Sat,Idaho State,San Diego State,N
50,2,09/02/2023,Sat,Incarnate Word,Texas-El Paso,N
51,2,09/02/2023,Sat,Long Island,Ohio,N
52,2,09/02/2023,Sat,Louisiana Tech,Southern Methodist,N
53,2,09/02/2023,Sat,Maine,Florida International,N
54,2,09/02/2023,Sat,Massachusetts,Auburn,N
55,2,09/02/2023,Sat,Mercer,Mississippi,N
56,2,09/02/2023,Sat,Middle Tennessee State,Alabama,N
57,2,09/02/2023,Sat,Monmouth,Florida Atlantic,N
58,2,09/02/2023,Sat,Nevada,Southern California,N
59,2,09/02/2023,Sat,New Mexico,Texas A&M,N
60,2,09/02/2023,Sat,Northern Arizona,Arizona,N
61,2,09/02/2023,Sat,Northern Illinois,Boston College,N
62,2,09/02/2023,Sat,Northern Iowa,Iowa State,N
63,2,09/02/2023,Sat,Northwestern State,Louisiana,N
64,2,09/02/2023,Sat,Ohio State,Indiana,N
65,2,09/02/2023,Sat,Old Dominion,Virginia Tech,N
66,2,09/02/2023,Sat,Portland State,Oregon,N
67,2,09/02/2023,Sat,Rice,Texas,N
68,2,09/02/2023,Sat,Robert Morris,Air Force,N
69,2,09/02/2023,Sat,Sam Houston State,Brigham Young,N
70,2,09/02/2023,Sat,South Alabama,Tulane,N
71,2,09/02/2023,Sat,South Carolina,North Carolina,Y
72,2,09/02/2023,Sat,South Carolina State,Charlotte,N
73,2,09/02/2023,Sat,South Florida,Western Kentucky,N
74,2,09/02/2023,Sat,Southeast Missouri State,Kansas State,N
75,2,09/02/2023,Sat,Southeastern Louisiana,Mississippi State,N
76,2,09/02/2023,Sat,Stephen F. Austin,Troy,N
77,2,09/02/2023,Sat,Tennessee State,Notre Dame,N
78,2,09/02/2023,Sat,Tennessee-Martin,Georgia,N
79,2,09/02/2023,Sat,Texas State,Baylor,N
80,2,09/02/2023,Sat,Texas Tech,Wyoming,N
81,2,09/02/2023,Sat,Texas-San Antonio,Houston,N
82,2,09/02/2023,Sat,Toledo,Illinois,N
83,2,09/02/2023,Sat,Towson,Maryland,N
84,2,09/02/2023,Sat,Utah State,Iowa,N
85,2,09/02/2023,Sat,Virginia,Tennessee,Y
86,2,09/02/2023,Sat,Washington State,Colorado State,N
87,2,09/02/2023,Sat,West Virginia,Penn State,N
88,2,09/02/2023,Sat,Western Carolina,Arkansas,N
89,2,09/02/2023,Sat,Western Illinois,New Mexico State,N
90,2,09/02/2023,Sat,Wofford,Pittsburgh,N
91,2,09/03/2023,Sun,Louisiana State,Florida State,Y
92,2,09/03/2023,Sun,Northwestern,Rutgers,N
93,2,09/03/2023,Sun,Oregon State,San Jose State,N
94,2,09/04/2023,Mon,Clemson,Duke,N
95,3,09/07/2023,Thu,Murray State,Louisville,N
96,3,09/08/2023,Fri,Illinois,Kansas,N
97,3,09/09/2023,Sat,Air Force,Sam Houston State,Y
98,3,09/09/2023,Sat,Alabama-Birmingham,Georgia Southern,N
99,3,09/09/2023,Sat,Appalachian State,North Carolina,N
100,3,09/09/2023,Sat,Arizona,Mississippi State,N
101,3,09/09/2023,Sat,Auburn,California,N
102,3,09/09/2023,Sat,Austin Peay,Tennessee,N
103,3,09/09/2023,Sat,Ball State,Georgia,N
104,3,09/09/2023,Sat,Cal Poly,San Jose State,N
105,3,09/09/2023,Sat,California-Davis,Oregon State,N
106,3,09/09/2023,Sat,Central Florida,Boise State,N
107,3,09/09/2023,Sat,Charleston Southern,Clemson,N
108,3,09/09/2023,Sat,Charlotte,Maryland,N
109,3,09/09/2023,Sat,Cincinnati,Pittsburgh,N
110,3,09/09/2023,Sat,Connecticut,Georgia State,N
111,3,09/09/2023,Sat,Delaware,Penn State,N
112,3,09/09/2023,Sat,Delaware State,Army,N
113,3,09/09/2023,Sat,Duquesne,West Virginia,N
114,3,09/09/2023,Sat,Eastern Illinois,Bowling Green,N
115,3,09/09/2023,Sat,Eastern Kentucky,Kentucky,N
116,3,09/09/2023,Sat,Eastern Michigan,Minnesota,N
117,3,09/09/2023,Sat,Eastern Washington,Fresno State,N
118,3,09/09/2023,Sat,Florida A&M,South Florida,N
119,3,09/09/2023,Sat,Fordham,Buffalo,N
120,3,09/09/2023,Sat,Furman,South Carolina,N
121,3,09/09/2023,Sat,Grambling State,Louisiana State,N
122,3,09/09/2023,Sat,Holy Cross,Boston College,N
123,3,09/09/2023,Sat,Houston,Rice,N
124,3,09/09/2023,Sat,Houston Baptist,Western Kentucky,N
125,3,09/09/2023,Sat,Idaho,Nevada,N
126,3,09/09/2023,Sat,Idaho State,Utah State,N
127,3,09/09/2023,Sat,Indiana State,Indiana,N
128,3,09/09/2023,Sat,Iowa,Iowa State,N
129,3,09/09/2023,Sat,Jacksonville State,Coastal Carolina,N
130,3,09/09/2023,Sat,James Madison,Virginia,N
131,3,09/09/2023,Sat,Kent State,Arkansas,N
132,3,09/09/2023,Sat,Lafayette,Duke,N
133,3,09/09/2023,Sat,Lamar,Louisiana-Monroe,N
134,3,09/09/2023,Sat,Louisiana,Old Dominion,N
135,3,09/09/2023,Sat,Marshall,East Carolina,N
136,3,09/09/2023,Sat,McNeese State,Florida,N
137,3,09/09/2023,Sat,Memphis,Arkansas State,N
138,3,09/09/2023,Sat,Miami (OH),Massachusetts,N
139,3,09/09/2023,Sat,Middle Tennessee State,Missouri,N
140,3,09/09/2023,Sat,Mississippi,Tulane,N
141,3,09/09/2023,Sat,Morgan State,Akron,N
142,3,09/09/2023,Sat,Nebraska,Colorado,N
143,3,09/09/2023,Sat,Nevada-Las Vegas,Michigan,N
144,3,09/09/2023,Sat,New Hampshire,Central Michigan,N
145,3,09/09/2023,Sat,New Mexico State,Liberty,N
146,3,09/09/2023,Sat,Nicholls State,Texas Christian,N
147,3,09/09/2023,Sat,North Texas,Florida International,N
148,3,09/09/2023,Sat,Northwestern State,Louisiana Tech,N
149,3,09/09/2023,Sat,Notre Dame,North Carolina State,N
150,3,09/09/2023,Sat,Ohio,Florida Atlantic,N
151,3,09/09/2023,Sat,Oklahoma State,Arizona State,N
152,3,09/09/2023,Sat,Oregon,Texas Tech,N
153,3,09/09/2023,Sat,Portland State,Wyoming,N
154,3,09/09/2023,Sat,Purdue,Virginia Tech,N
155,3,09/09/2023,Sat,Richmond,Michigan State,N
156,3,09/09/2023,Sat,South Carolina State,Georgia Tech,N
157,3,09/09/2023,Sat,Southeastern Louisiana,South Alabama,N
158,3,09/09/2023,Sat,Southern Illinois,Northern Illinois,N
159,3,09/09/2023,Sat,Southern Methodist,Oklahoma,N
160,3,09/09/2023,Sat,Southern Mississippi,Florida State,N
161,3,09/09/2023,Sat,Southern Utah,Brigham Young,N
162,3,09/09/2023,Sat,Stanford,Southern California,N
163,3,09/09/2023,Sat,Temple,Rutgers,N
164,3,09/09/2023,Sat,Tennessee Tech,New Mexico,N
165,3,09/09/2023,Sat,Texas,Alabama,N
166,3,09/09/2023,Sat,Texas A&M,Miami (FL),N
167,3,09/09/2023,Sat,Texas Southern,Toledo,N
168,3,09/09/2023,Sat,Texas State,Texas-San Antonio,N
169,3,09/09/2023,Sat,Texas-El Paso,Northwestern,N
170,3,09/09/2023,Sat,Troy,Kansas State,N
171,3,09/09/2023,Sat,Tulsa,Washington,N
172,3,09/09/2023,Sat,UCLA,San Diego State,N
173,3,09/09/2023,Sat,Utah,Baylor,N
174,3,09/09/2023,Sat,Vanderbilt,Wake Forest,N
175,3,09/09/2023,Sat,Wagner,Navy,N
176,3,09/09/2023,Sat,Western Michigan,Syracuse,N
177,3,09/09/2023,Sat,Wisconsin,Washington State,N
178,3,09/09/2023,Sat,Youngstown State,Ohio State,N
179,3,09/10/2023,Sun,Albany,Hawaii,N
180,4,09/14/2023,Thu,Bethune-Cookman,Miami (FL),N
181,4,09/14/2023,Thu,Navy,Memphis,N
182,4,09/15/2023,Fri,Army,Texas-San Antonio,N
183,4,09/15/2023,Fri,Utah State,Air Force,N
184,4,09/15/2023,Fri,Virginia,Maryland,N
185,4,09/16/2023,Sat,Akron,Kentucky,N
186,4,09/16/2023,Sat,Alabama,South Florida,N
187,4,09/16/2023,Sat,Bowling Green,Michigan,N
188,4,09/16/2023,Sat,Brigham Young,Arkansas,N
189,4,09/16/2023,Sat,Central Connecticut State,Kent State,N
190,4,09/16/2023,Sat,Central Michigan,Notre Dame,N
191,4,09/16/2023,Sat,Colorado State,Colorado,N
192,4,09/16/2023,Sat,Duquesne,Coastal Carolina,N
193,4,09/16/2023,Sat,East Carolina,Appalachian State,N
194,4,09/16/2023,Sat,Florida Atlantic,Clemson,N
195,4,09/16/2023,Sat,Florida International,Connecticut,N
196,4,09/16/2023,Sat,Florida State,Boston College,N
197,4,09/16/2023,Sat,Fresno State,Arizona State,N
198,4,09/16/2023,Sat,Georgia Southern,Wisconsin,N
199,4,09/16/2023,Sat,Georgia State,Charlotte,N
200,4,09/16/2023,Sat,Georgia Tech,Mississippi,N
201,4,09/16/2023,Sat,Hawaii,Oregon,N
202,4,09/16/2023,Sat,Idaho,California,N
203,4,09/16/2023,Sat,Indiana State,Ball State,N
204,4,09/16/2023,Sat,Iowa State,Ohio,N
205,4,09/16/2023,Sat,Jackson State,Texas State,N
206,4,09/16/2023,Sat,James Madison,Troy,N
207,4,09/16/2023,Sat,Kansas,Nevada,N
208,4,09/16/2023,Sat,Kansas State,Missouri,N
209,4,09/16/2023,Sat,Liberty,Buffalo,N
210,4,09/16/2023,Sat,Long Island,Baylor,N
211,4,09/16/2023,Sat,Louisiana,Alabama-Birmingham,N
212,4,09/16/2023,Sat,Louisiana State,Mississippi State,N
213,4,09/16/2023,Sat,Louisiana-Monroe,Texas A&M,N
214,4,09/16/2023,Sat,Louisville,Indiana,Y
215,4,09/16/2023,Sat,Massachusetts,Eastern Michigan,N
216,4,09/16/2023,Sat,Miami (OH),Cincinnati,N
217,4,09/16/2023,Sat,Minnesota,North Carolina,N
218,4,09/16/2023,Sat,Murray State,Middle Tennessee State,N
219,4,09/16/2023,Sat,New Mexico State,New Mexico,N
220,4,09/16/2023,Sat,Norfolk State,Temple,N
221,4,09/16/2023,Sat,North Carolina Central,UCLA,N
222,4,09/16/2023,Sat,North Dakota,Boise State,N
223,4,09/16/2023,Sat,North Texas,Louisiana Tech,N
224,4,09/16/2023,Sat,Northern Colorado,Washington State,N
225,4,09/16/2023,Sat,Northern Illinois,Nebraska,N
226,4,09/16/2023,Sat,Northwestern,Duke,N
227,4,09/16/2023,Sat,Oklahoma,Tulsa,N
228,4,09/16/2023,Sat,Penn State,Illinois,N
229,4,09/16/2023,Sat,Pittsburgh,West Virginia,N
230,4,09/16/2023,Sat,Prairie View A&M,Southern Methodist,N
231,4,09/16/2023,Sat,Sacramento State,Stanford,N
232,4,09/16/2023,Sat,Samford,Auburn,N
233,4,09/16/2023,Sat,San Diego State,Oregon State,N
234,4,09/16/2023,Sat,San Jose State,Toledo,N
235,4,09/16/2023,Sat,South Alabama,Oklahoma State,N
236,4,09/16/2023,Sat,South Carolina,Georgia,N
237,4,09/16/2023,Sat,Stony Brook,Arkansas State,N
238,4,09/16/2023,Sat,Syracuse,Purdue,N
239,4,09/16/2023,Sat,Tarleton State,Texas Tech,N
240,4,09/16/2023,Sat,Tennessee,Florida,N
241,4,09/16/2023,Sat,Texas Christian,Houston,N
242,4,09/16/2023,Sat,Texas Southern,Rice,N
243,4,09/16/2023,Sat,Texas-El Paso,Arizona,N
244,4,09/16/2023,Sat,Tulane,Southern Mississippi,N
245,4,09/16/2023,Sat,Vanderbilt,Nevada-Las Vegas,N
246,4,09/16/2023,Sat,Villanova,Central Florida,N
247,4,09/16/2023,Sat,Virginia Military Institute,North Carolina State,N
248,4,09/16/2023,Sat,Virginia Tech,Rutgers,N
249,4,09/16/2023,Sat,Wake Forest,Old Dominion,N
250,4,09/16/2023,Sat,Washington,Michigan State,N
251,4,09/16/2023,Sat,Weber State,Utah,N
252,4,09/16/2023,Sat,Western Kentucky,Ohio State,N
253,4,09/16/2023,Sat,Western Michigan,Iowa,N
254,4,09/16/2023,Sat,Wyoming,Texas,N
255,5,09/21/2023,Thu,Georgia State,Coastal Carolina,N
256,5,09/22/2023,Fri,Air Force,San Jose State,N
257,5,09/22/2023,Fri,Boise State,San Diego State,N
258,5,09/22/2023,Fri,North Carolina State,Virginia,N
259,5,09/22/2023,Fri,Wisconsin,Purdue,N
260,5,09/23/2023,Sat,Akron,Indiana,N
261,5,09/23/2023,Sat,Alabama-Birmingham,Georgia,N
262,5,09/23/2023,Sat,Appalachian State,Wyoming,N
263,5,09/23/2023,Sat,Arizona,Stanford,N
264,5,09/23/2023,Sat,Arkansas,Louisiana State,N
265,5,09/23/2023,Sat,Army,Syracuse,N
266,5,09/23/2023,Sat,Auburn,Texas A&M,N
267,5,09/23/2023,Sat,Boston College,Louisville,N
268,5,09/23/2023,Sat,Brigham Young,Kansas,N
269,5,09/23/2023,Sat,Buffalo,Louisiana,N
270,5,09/23/2023,Sat,California,Washington,N
271,5,09/23/2023,Sat,Central Florida,Kansas State,N
272,5,09/23/2023,Sat,Central Michigan,South Alabama,N
273,5,09/23/2023,Sat,Charlotte,Florida,N
274,5,09/23/2023,Sat,Colorado,Oregon,N
275,5,09/23/2023,Sat,Colorado State,Middle Tennessee State,N
276,5,09/23/2023,Sat,Delaware State,Miami (OH),N
277,5,09/23/2023,Sat,Duke,Connecticut,N
278,5,09/23/2023,Sat,Eastern Michigan,Jacksonville State,N
279,5,09/23/2023,Sat,Florida Atlantic,Illinois,N
280,5,09/23/2023,Sat,Florida State,Clemson,N
281,5,09/23/2023,Sat,Gardner-Webb,East Carolina,N
282,5,09/23/2023,Sat,Georgia Southern,Ball State,N
283,5,09/23/2023,Sat,Georgia Tech,Wake Forest,N
284,5,09/23/2023,Sat,Iowa,Penn State,N
285,5,09/23/2023,Sat,James Madison,Utah State,N
286,5,09/23/2023,Sat,Kent State,Fresno State,N
287,5,09/23/2023,Sat,Kentucky,Vanderbilt,N
288,5,09/23/2023,Sat,Liberty,Florida International,N
289,5,09/23/2023,Sat,Louisiana Tech,Nebraska,N
290,5,09/23/2023,Sat,Maryland,Michigan State,N
291,5,09/23/2023,Sat,Miami (FL),Temple,N
292,5,09/23/2023,Sat,Minnesota,Northwestern,N
293,5,09/23/2023,Sat,Mississippi,Alabama,N
294,5,09/23/2023,Sat,Mississippi State,South Carolina,N
295,5,09/23/2023,Sat,Missouri,Memphis,Y
296,5,09/23/2023,Sat,Nevada,Texas State,N
297,5,09/23/2023,Sat,Nevada-Las Vegas,Texas-El Paso,N
298,5,09/23/2023,Sat,New Mexico,Massachusetts,N
299,5,09/23/2023,Sat,Nicholls State,Tulane,N
300,5,09/23/2023,Sat,North Carolina,Pittsburgh,N
301,5,09/23/2023,Sat,Ohio,Bowling Green,N
302,5,09/23/2023,Sat,Ohio State,Notre Dame,N
303,5,09/23/2023,Sat,Oklahoma,Cincinnati,N
304,5,09/23/2023,Sat,Oklahoma State,Iowa State,N
305,5,09/23/2023,Sat,Oregon State,Washington State,N
306,5,09/23/2023,Sat,Rice,South Florida,N
307,5,09/23/2023,Sat,Rutgers,Michigan,N
308,5,09/23/2023,Sat,Sam Houston State,Houston,N
309,5,09/23/2023,Sat,Southern California,Arizona State,N
310,5,09/23/2023,Sat,Southern Methodist,Texas Christian,N
311,5,09/23/2023,Sat,Southern Mississippi,Arkansas State,N
312,5,09/23/2023,Sat,Texas,Baylor,N
313,5,09/23/2023,Sat,Texas Tech,West Virginia,N
314,5,09/23/2023,Sat,Texas-San Antonio,Tennessee,N
315,5,09/23/2023,Sat,Tulsa,Northern Illinois,N
316,5,09/23/2023,Sat,UCLA,Utah,N
317,5,09/23/2023,Sat,Virginia Tech,Marshall,N
318,5,09/23/2023,Sat,Western Kentucky,Troy,N
319,5,09/23/2023,Sat,Western Michigan,Toledo,N
320,5,09/24/2023,Sun,New Mexico State,Hawaii,N
321,6,09/28/2023,Thu,Jacksonville State,Sam Houston State,N
322,6,09/28/2023,Thu,Middle Tennessee State,Western Kentucky,N
323,6,09/28/2023,Thu,Temple,Tulsa,N
324,6,09/29/2023,Fri,Cincinnati,Brigham Young,N
325,6,09/29/2023,Fri,Louisiana Tech,Texas-El Paso,N
326,6,09/29/2023,Fri,Louisville,North Carolina State,N
327,6,09/29/2023,Fri,Utah,Oregon State,N
328,6,09/30/2023,Sat,Abilene Christian,North Texas,N
329,6,09/30/2023,Sat,Alabama,Mississippi State,N
330,6,09/30/2023,Sat,Alabama-Birmingham,Tulane,N
331,6,09/30/2023,Sat,Appalachian State,Louisiana-Monroe,N
332,6,09/30/2023,Sat,Arizona State,California,N
333,6,09/30/2023,Sat,Arkansas State,Massachusetts,N
334,6,09/30/2023,Sat,Ball State,Western Michigan,N
335,6,09/30/2023,Sat,Baylor,Central Florida,N
336,6,09/30/2023,Sat,Boise State,Memphis,N
337,6,09/30/2023,Sat,Bowling Green,Georgia Tech,N
338,6,09/30/2023,Sat,Buffalo,Akron,N
339,6,09/30/2023,Sat,Charlotte,Southern Methodist,N
340,6,09/30/2023,Sat,Clemson,Syracuse,N
341,6,09/30/2023,Sat,Coastal Carolina,Georgia Southern,N
342,6,09/30/2023,Sat,East Carolina,Rice,N
343,6,09/30/2023,Sat,Eastern Michigan,Central Michigan,N
344,6,09/30/2023,Sat,Florida,Kentucky,N
345,6,09/30/2023,Sat,Georgia,Auburn,N
346,6,09/30/2023,Sat,Hawaii,Nevada-Las Vegas,N
347,6,09/30/2023,Sat,Houston,Texas Tech,N
348,6,09/30/2023,Sat,Illinois,Purdue,N
349,6,09/30/2023,Sat,Indiana,Maryland,N
350,6,09/30/2023,Sat,Iowa State,Oklahoma,N
351,6,09/30/2023,Sat,Kansas,Texas,N
352,6,09/30/2023,Sat,Louisiana,Minnesota,N
353,6,09/30/2023,Sat,Louisiana State,Mississippi,N
354,6,09/30/2023,Sat,Miami (OH),Kent State,N
