team,team_short,win_total,elo_rating,conf,division
Georgia, ,11.5,2722.26787981663,SEC (East),FBS
Alabama, ,10.5,2570.18868914943,SEC (West),FBS
Michigan, ,10.5,2338.00610641055,Big Ten (East),FBS
Ohio State, ,10.5,2413.65674521486,Big Ten (East),FBS
Florida State, ,10,2384.6403706309,ACC,FBS
Clemson, ,9.5,2315.86857925446,ACC,FBS
Liberty, ,9.5,1941.08129363067,CUSA,FBS
Louisiana State, ,9.5,2453.22370568667,SEC (West),FBS
Oklahoma, ,9.5,2231.95062517644,Big 12,FBS
Oregon, ,9.5,2325.66664446824,Pac-12,FBS
Penn State, ,9.5,2192.06438206125,Big Ten (East),FBS
Tennessee, ,9.5,2454.82241963548,SEC (East),FBS
Texas, ,9.5,2358.92764493056,Big 12,FBS
Tulane, ,9.5,1889.48278984656,American,FBS
Southern California, ,9.5,2338.00916772607,Pac-12,FBS
Boise State, ,9,2065.94583964792,MWC,FBS
Notre Dame, ,9,2269.99756273893,Ind,FBS
Washington, ,9,2273.86300498578,Pac-12,FBS
Wisconsin, ,9,2120.29691806958,Big Ten (West),FBS
Air Force, ,8.5,1913.78593242865,MWC,FBS
Kansas State, ,8.5,2214.70331023848,Big 12,FBS
North Carolina, ,8.5,2157.37135618411,ACC,FBS
UCLA, ,8.5,2185.37119049518,Pac-12,FBS
Utah, ,8.5,2282.37553067996,Pac-12,FBS
Western Kentucky, ,8.5,1940.34435669015,CUSA,FBS
Coastal Carolina, ,8,1915.61897798907,Sun Belt (East),FBS
Fresno State, ,8,1945.72043935196,MWC,FBS
Louisville, ,8,2073.41999357728,ACC,FBS
Oregon State, ,8,2162.6719171494,Pac-12,FBS
Southern Methodist, ,8,1816.31226008979,American,FBS
South Alabama, ,8,1918.45628732063,Sun Belt (West),FBS
Troy, ,8,1927.59251170762,Sun Belt (West),FBS
Baylor, ,7.5,2118.94957137732,Big 12,FBS
Iowa, ,7.5,1986.68377798051,Big Ten (West),FBS
James Madison, ,7.5,1907.61103477525,Sun Belt (East),FBS
Miami (FL), ,7.5,2086.31615177706,ACC,FBS
Mississippi, ,7.5,2264.35393197994,SEC (West),FBS
Texas Christian, ,7.5,2115.14195688121,Big 12,FBS
Texas A&M, ,7.5,2281.95277116894,SEC (West),FBS
Texas Tech, ,7.5,2146.94877100346,Big 12,FBS
Arkansas, ,7,2191.73143820732,SEC (West),FBS
Marshall, ,7,1860.45644173521,Sun Belt (East),FBS
Maryland, ,7,1900.30938958123,Big Ten (East),FBS
Ohio, ,7,1688.58618689031,MAC (East),FBS
San Diego State, ,7,1910.20272331907,MWC,FBS
Appalachian State, ,6.5,1813.76350542905,Sun Belt (East),FBS
Auburn, ,6.5,2183.44218575422,SEC (West),FBS
Duke, ,6.5,2039.37218944804,ACC,FBS
