team,team_long,ELO rating,Win Total
BOS,Boston Celtics,1672,53.5
MIL,Milwaukee Bucks,1642,52.5
MIA,Miami Heat,1633,48.5
BKN,Brooklyn Nets,1630,50.5
PHX,Phoenix Suns,1629,52.5
LAC,Los Angeles Clippers,1627,52.5
PHI,Philadelphia 76ers,1625,50.5
DEN,Denver Nuggets,1624,49.5
GS,Golden State Warriors,1623,51.5
DAL,Dallas Mavericks,1612,48.5
MEM,Memphis Grizzlies,1605,48.5
UTA,Utah Jazz,1604,24.5
ATL,Atlanta Hawks,1598,45.5
NO,New Orleans Pelicans,1592,44.5
TOR,Toronto Raptors,1586,45.5
MIN,Minnesota Timberwolves,1577,48.5
LAL,Los Angeles Lakers,1574,45.5
POR,Portland Trail Blazers,1562,39.5
CHI,Chicago Bulls,1554,42.5
CHA,Charlotte Hornets,1553,36.5
NY,New York Knicks,1549,39.5
IND,Indiana Pacers,1540,23.5
CLE,Cleveland Cavaliers,1538,47.5
SAC,Sacramento Kings,1527,33.5
SA,San Antonio Spurs,1520,22.5
WSH,Washington Wizards,1510,35.5
ORL,Orlando Magic,1483,26.5
DET,Detroit Pistons,1463,29.5
OKC,Oklahoma City Thunder,1463,23.5
HOU,Houston Rockets,1455,23.5
